,call_id,account_id,borrower_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,timezone
225,CALL0000226,ACC0010288,BRW0011653,2026-01-09 11:36:06,AGT0000584,CMP0000108,OUTBOUND,VND0000015,VOICEMAIL,184,Asia/Dubai
90485,CALL0000226,ACC0010288,BRW0011653,2026-01-12 11:36:06,AGT0000584,CMP0000108,OUTBOUND,VND0000015,VOICEMAIL,184,Asia/Dubai
1605,CALL0001606,ACC0028730,BRW0011773,2026-02-28 06:39:17,,CMP0000019,OUTBOUND,VND0000007,FAILED,845,Asia/Dubai
90739,CALL0001606,ACC0028730,BRW0011773,2026-02-28 06:39:17,AGT0000504,CMP0000019,OUTBOUND,VND0000007,FAILED,845,Asia/Dubai
1810,CALL0001811,ACC0020868,BRW0000316,2026-05-14 02:18:37,,CMP0000009,OUTBOUND,VND0000015,BUSY,360,Asia/Kolkata
90953,CALL0001811,ACC0020868,BRW0000316,2026-05-14 02:18:37,AGT0000531,CMP0000009,OUTBOUND,VND0000015,BUSY,360,Asia/Kolkata
3081,CALL0003082,ACC0006316,BRW0007107,2026-04-18 14:14:49,,CMP0000094,OUTBOUND,VND0000003,BUSY,10,Asia/Dubai
90125,CALL0003082,ACC0006316,BRW0007107,2026-04-18 14:14:49,AGT0000120,CMP0000094,OUTBOUND,VND0000003,BUSY,10,Asia/Dubai
4228,CALL0004229,ACC0014927,BRW0000039,2026-05-16 07:06:49,,CMP0000082,OUTBOUND,VND0000001,NO_ANSWER,278,UTC
91153,CALL0004229,ACC0014927,BRW0000039,2026-05-16 07:06:49,AGT0000433,CMP0000082,OUTBOUND,VND0000001,NO_ANSWER,278,UTC
90925,CALL0005099,ACC0013498,BRW0005794,2026-07-06 10:21:04,AGT0000013,CMP0000068,INBOUND,VND0000011,NO_ANSWER,823,Asia/Kolkata
5098,CALL0005099,ACC0013498,BRW0005794,2026-07-10 10:21:04,AGT0000013,CMP0000068,INBOUND,VND0000011,NO_ANSWER,823,Asia/Kolkata
